순번,제목,설명,발행일,링크,원본링크,언론사,IP포함,라이선싱포함,빌드업포함,코레일포함,슈야포함,테마카페포함,캐릭터포함
106,"코레일유통; ‘콘텐츠 IP 마켓 2024’ 협력 성공사례 발표","지난해 11월 콘진원과 업무협약을 체결한 코레일유통은 올해 5월 콘진원 ‘IP 라이선싱 빌드업’ 사업의 플랫폼사로 참여해 중소 캐릭터 IP와의 컬래버레이션을 활발히 전개하고 있다. 지난 10월; 코레일유통은 수원역... ",2024-11-21,"http://mcnews.co.kr/82810","http://mcnews.co.kr/82810",Unknown,Y,Y,Y,Y,N,N,Y
107,"코레일유통; '콘텐츠 IP 마켓 2024'서 협력 성공사례 발표","지난해 11월 콘진원과 업무협약을 체결한 코레일유통은 올해 5월 콘진원 'IP 라이선싱 빌드업' 사업의 플랫폼사로 참여해 중소 캐릭터 IP와의 컬래버레이션을 활발히 전개하고 있다. 지난 10월 코레일유통은 수원역 카페... ",2024-11-20,"https://www.cstimes.com/news/articleView.html?idxno=620423","https://www.cstimes.com/news/articleView.html?idxno=620423",Unknown,Y,Y,Y,Y,N,N,Y
108,"코레일유통; '콘텐츠 IP 마켓 2024'서 협력 성공사례 발표","지난해 11월 콘진원과 업무협약을 체결한 코레일유통은 올해 5월 콘진원 'IP 라이선싱 빌드업' 사업의 플랫폼사로 참여해 중소 캐릭터 IP와의 컬래버레이션을 활발히 전개하고 있다. 지난 10월에는 수원역 카페 트리핀을... ",2024-11-20,"https://www.insightkorea.co.kr/news/articleView.html?idxno=214187","https://www.insightkorea.co.kr/news/articleView.html?idxno=214187",Unknown,Y,Y,Y,Y,N,N,Y
109,"코레일유통; '콘텐츠 IP 마켓 2024'에서 협력 성공사례 발표","지난해 11월 콘진원과 업무협약을 체결한 코레일유통은 올해 5월 콘진원 'IP 라이선싱 빌드업' 사업의 플랫폼사로 참여해 중소 캐릭터 IP와의 컬래버레이션을 활발히 전개하고 있다. 지난 10월; 코레일유통은 수원역 카페... ",2024-11-20,"http://www.thefirstmedia.net/news/articleView.html?idxno=158700","http://www.thefirstmedia.net/news/articleView.html?idxno=158700",Unknown,Y,Y,Y,Y,N,N,Y
110,"코레일유통; '콘텐츠 IP 마켓 2024'서 성공적 협력 사례 발표","지난해 11월; 코레일유통은 한국콘텐츠진흥원과 업무협약을 체결한 이후; 올해 5월에는 'IP 라이선싱 빌드업' 사업의 플랫폼사로 참여해 중소 캐릭터 IP와의 활발한 협업을 이어오고 있다. 특히 지난 10월; 코레일유통은... ",2024-11-20,"https://www.thefairnews.co.kr/news/articleView.html?idxno=36187","https://www.thefairnews.co.kr/news/articleView.html?idxno=36187",더페어뉴스,Y,Y,Y,Y,N,N,Y
111,"코레일유통; ‘콘텐츠 IP 마켓 2024’에서 협력 성공사례 발표","지난해 11월 콘진원과 업무협약을 체결한 코레일유통은 올해 5월 콘진원 ‘IP 라이선싱 빌드업’ 사업의 플랫폼사로 참여해 중소 캐릭터 IP와의 컬래버레이션을 전개하고 있다. 지난 10월; 코레일유통은 수원역 카페... ",2024-11-20,"https://www.ceoscoredaily.com/page/view/2024112014195378759","https://www.ceoscoredaily.com/page/view/2024112014195378759",Unknown,Y,Y,Y,Y,N,N,Y
112,"코레일유통; '콘텐츠 IP 마켓'서 협력 성공사례 발표","코레일유통은 지난해 11월 콘진원과 업무협약을 체결했고 올해 5월 콘진원 IP 라이선싱 빌드업 사업의 플랫폼사로 참여해 중소 캐릭터 IP와의 컬래버레이션을 활발히 전개하고 있다. 지난 10월에는 수원역 카페 트리핀을... ",2024-11-20,"http://www.iminju.net/news/articleView.html?idxno=112625","http://www.iminju.net/news/articleView.html?idxno=112625",Unknown,Y,Y,Y,Y,N,N,Y
113,"코레일유통; '콘텐츠 IP 마켓'서 철도-콘텐츠 협력사례 발표","지난해 11월 콘진원과 업무협약을 체결한 코레일유통은 올해 5월 콘진원 'IP 라이선싱 빌드업' 사업의 플랫폼사로 참여해 중소 캐릭터 IP와의 컬래버레이션을 활발히 전개하고 있다. 지난 10월 코레일유통은 수원역 카페... ",2024-11-20,"https://www.pressman.kr/news/articleView.html?idxno=85957","https://www.pressman.kr/news/articleView.html?idxno=85957",Unknown,Y,Y,Y,Y,N,N,Y
114,"코레일유통; '콘텐츠 IP 마켓 2024'에서 협력 성공사례 발표","지난해 11월 콘진원과 업무협약을 체결한 코레일유통은 올해 5월 콘진원 'IP 라이선싱 빌드업' 사업의 플랫폼사로 참여해 중소 캐릭터 IP와의 컬래버레이션을 활발히 전개하고 있다. 지난달 코레일유통은 수원역 카페... ",2024-11-20,"http://www.sisacast.kr/news/articleView.html?idxno=64689","http://www.sisacast.kr/news/articleView.html?idxno=64689",Unknown,Y,Y,Y,Y,N,N,Y
115,"코레일유통; ‘콘텐츠 IP 마켓 2024’서 협력 성공사례 발표","지난해 11월 콘진원과 업무협약을 체결한 코레일유통은 올해 5월 콘진원 ‘IP 라이선싱 빌드업’ 사업의 플랫폼사로 참여해 중소 캐릭터 IP와의 컬래버레이션을 활발히 전개하고 있다. 지난 10월; 코레일유통은 수원역... ",2024-11-20,"http://www.lawissue.co.kr/view.php?ud=202411201248264319f4ab64559d_12","http://www.lawissue.co.kr/view.php?ud=202411201248264319f4ab64559d_12",Unknown,Y,Y,Y,Y,N,N,Y
116,"코레일유통; ‘콘텐츠 IP 마켓 2024’에서 협력 성공사례 발표","지난해 11월 콘진원과 업무협약을 체결한 코레일유통은 올해 5월 콘진원 ‘IP 라이선싱 빌드업’ 사업의 플랫폼사로 참여해 중소 캐릭터 IP와의 컬래버레이션을 활발히 전개하고 있다. 지난 10월; 코레일유통은 수원역... ",2024-11-20,"http://www.globalepic.co.kr/view.php?ud=20241120113745590448439a4874_29","http://www.globalepic.co.kr/view.php?ud=20241120113745590448439a4874_29",Unknown,Y,Y,Y,Y,N,N,Y
117,"코레일유통; '콘텐츠 IP 마켓 2024' 참가…K-콘텐츠 협력 사례 선보여","코레일유통은 올해 5월부터 콘진원 'IP 라이선싱 빌드업' 사업의 플랫폼사로 참여하며 중소 캐릭터 IP와의 협업을 적극적으로 진행해왔다. 지난 10월에는 수원역 카페 트리핀을 인기 캐릭터 '안녕 자두야'와 협업해... ",2024-11-20,"https://www.mhns.co.kr/news/articleView.html?idxno=703692","https://www.mhns.co.kr/news/articleView.html?idxno=703692",Unknown,Y,Y,Y,Y,N,N,Y
118,"코레일유통; 콘텐츠 IP 마켓 2024 참여…캐릭터 협력 성공사례 소개","코레일유통은 지난해 11월 한국콘텐츠진흥원과 업무협약을 체결해 올해 5월 콘진원 'IP 라이선싱 빌드업' 사업의 플랫폼사로 참여해 중소 캐릭터 IP와 컬래버레이션을 활발히 전개하고 있다. 지난 10월에는 수원역 카페... ",2024-11-20,"http://www.newsian.co.kr/news/articleView.html?idxno=74691","http://www.newsian.co.kr/news/articleView.html?idxno=74691",Unknown,Y,Y,Y,Y,N,N,Y
119,"코레일유통; '콘텐츠 IP 마켓 2024'서 협력 성공사례 발표","지난해 11월 콘진원과 업무협약을 체결한 코레일유통은 올해 5월 콘진원 'IP 라이선싱 빌드업' 사업의 플랫폼사로 참여해 중소 캐릭터 IP와의 컬래버레이션을 활발히 전개하고 있다. 지난 10월; 코레일유통은 수원역 카페... ",2024-11-20,"http://www.newsdream.kr/news/articleView.html?idxno=71856","http://www.newsdream.kr/news/articleView.html?idxno=71856",Unknown,Y,Y,Y,Y,N,N,Y
120,"코레일유통; '콘텐츠 IP 마켓 2024'에서 협력 성공사례 공유","지난해 11월 콘진원과 업무협약을 체결한 코레일유통은 올해 5월 콘진원 'IP 라이선싱 빌드업' 사업의 플랫폼사로 참여해 중소 캐릭터 IP와의 컬래버레이션을 활발히 전개하고 있다. 지난 10월; 코레일유통은 수원역 카페... ",2024-11-20,"https://www.newsinside.kr/news/articleView.html?idxno=3041609","https://www.newsinside.kr/news/articleView.html?idxno=3041609",Unknown,Y,Y,Y,Y,N,N,Y
121,"코레일유통; ‘콘텐츠 IP 마켓 2024’서 협력 성공사례 발표","지난해 11월 콘진원과 업무협약을 체결한 코레일유통은 올해 5월 콘진원 ‘IP 라이선싱 빌드업’ 사업의 플랫폼사로 참여해 중소 캐릭터 IP와의 컬래버레이션을 활발히 전개하고 있다. 지난 10월 코레일유통은 수원역... ",2024-11-20,"https://hobbyen-news.com/news/view/1065577188088560","https://hobbyen-news.com/news/view/1065577188088560",Unknown,Y,Y,Y,Y,N,N,Y
122,"코레일유통; '콘텐츠 IP 마켓 2024'서 철도·콘텐츠 협력사례 소개","지난해 11월 콘진원과 업무협약을 체결한 코레일유통은 올해 5월 콘진원 'IP 라이선싱 빌드업' 사업의 플랫폼사로 참여해 중소 캐릭터 IP와의 컬래버레이션을 활발히 전개하고 있다. 지난 10월 코레일유통은 수원역 카페... ",2024-11-20,"https://www.s-journal.co.kr/news/articleView.html?idxno=25320","https://www.s-journal.co.kr/news/articleView.html?idxno=25320",Unknown,Y,Y,Y,Y,N,N,Y
123,"철도와 콘텐츠 융합…코레일유통; ‘콘텐츠 IP 마켓’서 협력 성공사례...","코레일유통은 지난해 11월 콘진원과 업무협약을 체결했고; 올해 5월 콘진원 ‘IP 라이선싱 빌드업’ 사업의 플랫폼사로 참여해 중소 캐릭터 IP와의 컬래버레이션을 활발히 전개하고 있다. 지난 10월에는 수원역 카페... ",2024-11-20,"https://n.news.naver.com/mnews/article/009/0005399584?sid=101","https://www.mk.co.kr/article/11172953",네이버뉴스,Y,Y,Y,Y,N,N,Y
124,"코레일유통; '콘텐츠 IP 마켓 2024'서 협력 사례 선보여","특히 작년 11월 콘텐츠진흥원과 업무협약을 체결한 코레일유통은 올해 5월 콘진원 'IP 라이선싱 빌드업' 사업의 플랫폼사로 참여해 중소 캐릭터 IP와의 컬래버레이션을 활발히 전개하고 있다. 여기에 지난 10월... ",2024-11-20,"http://www.chungnamilbo.co.kr/news/articleView.html?idxno=800579","http://www.chungnamilbo.co.kr/news/articleView.html?idxno=800579",Unknown,Y,Y,Y,Y,N,N,Y
125,"코레일유통; '콘텐츠 IP 마켓 2024'서 협력 성공사례 발표","지난해 11월 콘진원과 업무협약을 체결한 코레일유통은 올해 5월 콘진원 'IP 라이선싱 빌드업' 사업의 플랫폼사로 참여해 중소 캐릭터 IP와의 컬래버레이션을 활발히 전개하고 있다. 코레일유통 관계자는 &quot;안녕 자두야와... ",2024-11-20,"https://www.asiatime.co.kr/article/20241120500069","https://www.asiatime.co.kr/article/20241120500069",Unknown,Y,Y,Y,Y,N,N,Y
126,"코레일유통; '콘텐츠 IP 마켓 2024'서 협력 성공사례 발표","지난해 11월 콘진원과 업무협약을 체결한 코레일유통은 올해 5월 콘진원 'IP 라이선싱 빌드업' 사업의 플랫폼사로 참여해 중소 캐릭터 IP와의 컬래버레이션을 활발히 전개하고 있다. 지난 10월; 코레일유통은 수원역 카페... ",2024-11-20,"http://www.newslock.co.kr/news/articleView.html?idxno=100321","http://www.newslock.co.kr/news/articleView.html?idxno=100321",Unknown,Y,Y,Y,Y,N,N,Y
127,"코레일유통; '콘텐츠 IP 마켓 2024'에서 협력 성공사례 발표","지난해 11월 콘진원과 업무협약을 체결한 코레일유통은 올해 5월 콘진원 'IP 라이선싱 빌드업' 사업의 플랫폼사로 참여해 중소 캐릭터 IP와의 컬래버레이션을 활발히 전개하고 있다. 지난 10월; 코레일유통은 수원역 카페... ",2024-11-20,"http://www.financialreview.co.kr/news/articleView.html?idxno=31722","http://www.financialreview.co.kr/news/articleView.html?idxno=31722",Unknown,Y,Y,Y,Y,N,N,Y
128,"코레일유통 '콘텐츠 IP 마켓 2024'서 협력 성공사례 발표","지난해 11월 콘진원과 업무협약을 체결한 코레일유통은 올해 5월 콘진원 'IP 라이선싱 빌드업' 사업의 플랫폼사로 참여해 중소 캐릭터 IP와의 컬래버레이션을 활발히 전개하고 있다. 지난 10월; 코레일유통은 수원역 카페... ",2024-11-20,"http://www.enewstoday.co.kr/news/articleView.html?idxno=2202283","http://www.enewstoday.co.kr/news/articleView.html?idxno=2202283",Unknown,Y,Y,Y,Y,N,N,Y
129,"코레일유통; '콘텐츠 IP 마켓 2024' 철도-콘텐츠 융합 성공사례 발표","코레일유통은 지난해 11월 콘진원과의 업무협약을 바탕으로 올해 5월부터 'IP 라이선싱 빌드업' 사업의 플랫폼사로 참여; 중소 캐릭터 IP와의 협업을 활발히 전개하고 있다. 또 이러한 성과를 바탕으로 지난 10월에는... ",2024-11-19,"https://www.newscj.com/news/articleView.html?idxno=3201545","https://www.newscj.com/news/articleView.html?idxno=3201545",Unknown,Y,Y,Y,Y,N,N,Y
130,"오콘; '버니공쥬'로 ‘2024 캐릭터 라이선싱 페어’ 참가","한편; 오콘이 참여한 'IP 라이선싱 빌드업' 사업은 중소 콘텐츠기업과 다양한 산업군 간 협력관계 구축을 통해 수요 맞춤형 성장을 지원하고; 협업 콘텐츠 IP제작 및 유통을 지원하는 사업으로; 오콘은 2024... ",2024-07-22,"https://www.jungle.co.kr/magazine/206321","https://www.jungle.co.kr/magazine/206321",Unknown,Y,Y,Y,N,N,N,Y
131,"오콘; '2024 캐릭터 라이선싱 페어' 참가... 분홍토끼 '버니공쥬' 캐릭터...","오콘이 참여한 'IP 라이선싱 빌드업' 사업은 중소 콘텐츠기업과 다양한 산업군 간 협력관계 구축을 통해 수요 맞춤형 성장을 지원하고; 협업 콘텐츠 IP제작 및 유통을 지원하는 사업이다. 오콘은 '2024 콘텐츠진흥원 IP... ",2024-07-22,"https://www.ibabynews.com/news/articleView.html?idxno=118912","https://www.ibabynews.com/news/articleView.html?idxno=118912",Unknown,Y,Y,Y,N,N,N,Y
132,"분홍토끼 ‘버니공쥬’가 떴다...오콘; ‘2024 캐릭터 라이선싱 페어’...","오콘이 참여한 ‘IP 라이선싱 빌드업’ 사업은 중소 콘텐츠기업과 다양한 산업군 간 협력관계 구축을 통해 수요 맞춤형 성장을 지원하고; 협업 콘텐츠 IP제작 및 유통을 지원하는 사업이다. 오콘은 ‘2024 콘텐츠진흥원 IP... ",2024-07-22,"https://n.news.naver.com/mnews/article/009/0005338556?sid=105","https://www.mk.co.kr/article/11073639",네이버뉴스,Y,Y,Y,N,N,N,Y
133,"오콘; '2024 캐릭터 라이선싱 페어'서 '버니공쥬' 캐릭터 첫 공개","오콘이 참여한 'IP 라이선싱 빌드업' 사업은 중소 콘텐츠기업과 다양한 산업군 간 협력관계 구축을 통해 수요 맞춤형 성장을 지원하고; 협업 콘텐츠 IP제작 및 유통을 지원하는 사업이다. 오콘은 '2024 콘텐츠진흥원 IP... ",2024-07-22,"http://www.kdpress.co.kr/news/articleView.html?idxno=130471","http://www.kdpress.co.kr/news/articleView.html?idxno=130471",Unknown,Y,Y,Y,N,N,N,Y
134,"오콘 '버니공쥬' 콘진원 '캐릭터 라이선싱 페어' 참가..GS리테일과 협업","콘진원이 캐릭터 IP(지적재산권)를 활용한 금융·유통·통신·식품 등 타산업과의 시너지를 모색하기 위한 비즈니스의 장으로 만든 '2024 IP 라이선싱 빌드업 사업'의 '2024 빌드업 다운타운'에 15개 기업 중 하나로 참가했다.... ",2024-07-22,"https://n.news.naver.com/mnews/article/008/0005067008?sid=103","http://news.mt.co.kr/mtview.php?no=2024072214404554291",네이버뉴스,Y,Y,Y,N,N,N,Y
135,"극장에서 만나는 스타트업 제품은? '2021 IP 라이선싱 빌드업'","'2021 IP 라이선싱 빌드업' 메가박스가 한국콘텐츠진흥원과 지난 7월 콘텐츠 산업 활성화를 위한 업무 협약을 체결했다고 밝혔다.지난 3월;한국무역협회와 손잡고 ‘스타트업 오픈 이노베이션’을 진행했던 메가박스가... ",2021-08-12,"http://www.viva100.com/main/view.php?key=20210812010003229","http://www.viva100.com/main/view.php?key=20210812010003229",Unknown,Y,Y,Y,N,N,N,N
136,"코레일유통; 콘텐츠 IP 마켓 2024서 혁신적 협력 사례 선봬","지난해 11월 콘진원과 업무협약을 체결한 코레일유통은 올해 5월부터 'IP 라이선싱 빌드업' 사업의 플랫폼사로 참여하며 중소 캐릭터 IP와의 활발한 협업을 이어가고 있다. 예를 들어; 최근 수원역 카페 트리핀은 인기... ",2024-11-20,"https://www.polinews.co.kr/news/articleView.html?idxno=671319","https://www.polinews.co.kr/news/articleView.html?idxno=671319",Unknown,Y,Y,Y,Y,N,N,Y
137,"콘진원-메가박스; '2021 IP 라이선싱 빌드업' 모집","메가박스는 이번 업무협약의 일환으로 콘진원의 '2021 IP 라이선싱 빌드업(엔터테인먼트형)' 사업의 멘토로 참여해 중소 콘텐츠 기업을 대상으로 멘토링 및 컨설팅; 콘텐츠·시제품 제작 및 홍보도 지원한다. 참가... ",2021-08-12,"https://n.news.naver.com/mnews/article/469/0000623392?sid=105","https://hankookilbo.com/News/Read/A2021081217340005504?did=NA",네이버뉴스,Y,Y,Y,N,N,N,N
138,"메가박스-콘진원; 콘텐츠 협력 맞손 '2021 IP 라이선싱 빌드업' 모집","이번 업무협약의 일환으로 메가박스는 콘진원의 '2021 IP 라이선싱 빌드업(엔터테인먼트형)' 사업의 멘토로도 참여해 중소 콘텐츠 기업을 대상으로 멘토링 및 컨설팅; 콘텐츠·시제품 제작 및 홍보를 지원한다. 참가... ",2021-08-12,"https://n.news.naver.com/mnews/article/008/0004630297?sid=101","http://news.mt.co.kr/mtview.php?no=2021081213182747037",네이버뉴스,Y,Y,Y,N,N,N,N
139,"메가박스·콘진원 MOU…'2021 IP 라이선싱 빌드업' 모집","메가박스는 이번 업무협약의 일환으로 콘진원의 '2021 IP 라이선싱 빌드업(엔터테인먼트형)' 사업의 멘토로도 참여해 중소 콘텐츠 기업을 대상으로 멘토링 및 컨설팅; 콘텐츠·시제품 제작 및 홍보도 지원한다. 참가... ",2021-08-12,"https://m.entertain.naver.com/article/003/0010661201","http://www.newsis.com/view/?id=NISX20210812_0001546313&cID=10601&pID=10600",네이버뉴스,Y,Y,Y,N,N,N,N
140,"북이십일 '니니키즈와 마법천자문'으로 2024 캐릭터 라이선싱 페어 참가","니니키즈는 오는 20일 캐릭터 라이선싱 페어에서 싱어롱콘서트 무대를 가질 예정이다. 또한 서울랜드와 니니키즈가 협업할 내용들을 담은 '캐릭터 라이선싱 페어 2024 IP 빌드업 기획관'에서 니니키즈를 만나볼 수 있다.",2024-07-19,"http://www.kdpress.co.kr/news/articleView.html?idxno=130417","http://www.kdpress.co.kr/news/articleView.html?idxno=130417",Unknown,Y,Y,Y,N,N,N,Y
141,"북이십일 니니키즈와 마법천자문; 캐릭터 라이선싱 페어 참가","또한 캐릭터라이선싱페어 2024 IP 빌드업 기획관에서도 찾아볼 수 있으며; 서울랜드와 니니키즈가 협업할 내용들을 담아 전시할 계획이다. 회사 측 설명에 따르면; 올해로 20주년이 된 아동학습만화 '마법천자문'은... ",2024-07-18,"http://www.thefirstmedia.net/news/articleView.html?idxno=150298","http://www.thefirstmedia.net/news/articleView.html?idxno=150298",Unknown,Y,Y,Y,N,N,N,Y
142,"북이십일; 니니키즈와 마법천자문으로 캐릭터 라이선싱 페어 참가","새로운 사업 확장을 열 계시가 되리라 예상한다&quot;고 전했다. 한편; 캐릭터라이선싱페어 2024 IP 빌드업 기획관에서도 니니키즈를 찾아볼 수 있으며; 서울랜드와 니니키즈가 협업할 내용들을 담아 전시될 예정이다.",2024-07-18,"https://www.enetnews.co.kr/news/articleView.html?idxno=27069","https://www.enetnews.co.kr/news/articleView.html?idxno=27069",Unknown,Y,Y,Y,N,N,N,Y
143,"북이십일; 니니키즈와 마법천자문으로 '캐릭터 라이선싱 페어' 참가","새로운 사업 확장을 열 계시가 되리라예상한다&quot;고 전했다. 한편 캐릭터라이선싱페어 2024 IP 빌드업 기획관에서도 니니키즈를 찾아볼 수 있으며; 서울랜드와니니키즈가 협업할 내용들을 담아 전시될 계획이다.",2024-07-18,"https://www.cstimes.com/news/articleView.html?idxno=602345","https://www.cstimes.com/news/articleView.html?idxno=602345",Unknown,Y,Y,Y,N,N,N,Y
144,"GS리테일; 중소 콘텐츠 기업 ‘캐릭터 IP’ 지원…”K-콘텐츠 성장 도모...","GS리테일이 오는 11월까지 한국콘텐츠진흥원이 주관하는 ‘2024 IP 라이선싱 빌드업’ 프로그램에 플랫폼사로 참여; 우수 콘텐츠 IP를 보유한 국내 중소 콘텐츠기업의 성장을 지원한다고 밝혔다. IP 라이선싱 빌드업은... ",2024-07-25,"https://n.news.naver.com/mnews/article/119/0002854855?sid=101","https://www.dailian.co.kr/news/view/1387965/?sc=Naver",네이버뉴스,Y,Y,Y,N,N,N,Y
145,"GS리테일; 중소 콘텐츠 기업 ‘캐릭터 IP’ 지원사격","IP 라이선싱 빌드업 프로그램 참여; 중소 콘텐츠기업 발굴&amp;성장 지원 ‘버니공주’ IP 활용해 알파세대를 위한 상품 및 콘텐츠 공동 기획 ▲ GS리테일과 컬래버레이션을 진행할 분홍색 토끼 ‘버니공주’ 캐릭터.&lt;사진... ",2024-07-25,"https://sateconomy.co.kr/news/view/1065586742643393","https://sateconomy.co.kr/news/view/1065586742643393",Unknown,Y,Y,Y,N,N,N,Y
146,"GS리테일; 중소 콘텐츠 기업 ‘캐릭터 IP’ 지원사격한다","2024 IP 라이선싱 빌드업 프로그램 플랫폼사로 참여; 중소 콘텐츠기업 발굴&amp;성장 지원 ‘버니공주’ IP 활용해 알파세대를 위한 상품 및 콘텐츠 공동 기획; 맞춤형 멘토링도 제공 GS리테일; 중소 콘텐츠 기업과 IP... ",2024-07-25,"http://kor.theasian.asia/archives/363655","http://kor.theasian.asia/archives/363655",Unknown,Y,Y,Y,N,N,N,Y
147,"[위클리오늘] GS리테일; 중소 콘텐츠 기업 '캐릭터 IP' 지원사격","GS리테일은 오는 11월까지 한국콘텐츠진흥원이 주관하는 '2024 IP 라이선싱 빌드업' 프로그램에 플랫폼사로 참여한다고 25일 밝혔다.(사진=GS리테일) GS리테일이 국내 중소 콘텐츠기업과 협업해 신규 콘텐츠를 개발하고... ",2024-07-25,"http://www.weeklytoday.com/news/articleView.html?idxno=641028","http://www.weeklytoday.com/news/articleView.html?idxno=641028",Unknown,Y,Y,Y,N,N,N,Y
148,"북이십일; '캐릭터 라이선싱 페어' 참가... 니니키즈 싱어롱콘서트 진행","오프라인 행사와 제휴를 통해 인기를 확장하고 있다&quot;며 &quot;이번 행사를 통해 새로운 사업 확장이 기대된다&quot;고 말했다. 또한; 캐릭터 라이선싱 페어 2024 IP 빌드업 기획관에서는 서울랜드와 니니키즈의 협업 내용도 전시된다.",2024-07-19,"https://www.gokorea.kr/news/articleView.html?idxno=801122","https://www.gokorea.kr/news/articleView.html?idxno=801122",Unknown,Y,Y,Y,N,N,N,Y
149,"버니공쥬 찹쌀떡은 어떤 맛? 캐릭터로 취향 저격하는 편의점","GS리테일은 콘진원의 ‘IP 라이선싱 빌드업’ 사업을 통해 자신의 이해관계과 맞아떨어지는 아이피를 만나게 됐다. 이 사업은 대기업과 중소 콘텐츠 기업을 연결해줌으로써 대기업에게는 국내의 수많은 아이피 중... ",2024-11-28,"https://n.news.naver.com/mnews/article/028/0002718348?sid=101","https://www.hani.co.kr/arti/economy/marketing/1169631.html",네이버뉴스,Y,Y,Y,N,N,N,Y
150,"코레일유통; 수원역 '안녕 자두야' IP 활용 테마카페 오픈…&quot;콘텐츠 기...","코레일유통은 지난 5월 한국콘텐츠진흥원이 주관하는 '2024 IP 라이선싱 빌드업' 프로그램을 통해 수원역 카페를 컬래버 할 국내 캐릭터 콘텐츠 기업을 모집했다. △ K-콘텐츠와 철도 모빌리티의 만남; 새로운 문화 공간... ",2024-09-27,"https://www.cstimes.com/news/articleView.html?idxno=612222","https://www.cstimes.com/news/articleView.html?idxno=612222",Unknown,Y,Y,Y,Y,N,Y,Y
151,"편의점; 캐릭터·게임 IP 협업 확대…“'펀슈머' 잡아 집객효과 극대화...","특히 GS리테일은 잠재력 있는 콘텐츠 IP를 발굴하기 위해 '2024 IP 라이선싱 빌드업' 프로그램에 참여해 중소 콘텐츠기업을 지원하고 있다. 세븐일레븐은 롯데프리미엄아울렛 동부산점서 'FC 세븐일레븐 앙코르... ",2024-09-23,"https://n.news.naver.com/mnews/article/030/0003241559?sid=101","https://www.etnews.com/20240923000221",네이버뉴스,Y,Y,Y,N,N,N,Y
152,"오콘; 콘텐츠IP 비즈니스 전시회 참가...버니공쥬 캐릭터 선보여","오콘이 참여한 'IP 라이선싱 빌드업' 사업은 중소 콘텐츠기업과 다양한 산업군 간 협력관계 구축을 통해 수요 맞춤형 성장을 지원하고; 협업 콘텐츠 IP제작 및 유통을 지원하는 사업이다. 오콘은 '2024 콘텐츠진흥원 IP... ",2024-07-22,"https://www.gukjenews.com/news/articleView.html?idxno=3049263","https://www.gukjenews.com/news/articleView.html?idxno=3049263",Unknown,Y,Y,Y,N,N,N,Y
153,"키즈들 사로잡는 캐릭터를 잡아라","대상㈜은 한국콘텐츠진흥원(콘진원)의 ‘IP 라이선싱 빌드업’ 사업을 통해 자신의 이해관계과 맞아떨어지는 아이피를 만나게 됐다. 이 사업은 대기업과 중소 콘텐츠 기업을 연결해줌으로써 대기업에게는 국내의 수많은... ",2024-11-28,"https://n.news.naver.com/mnews/article/028/0002718402?sid=101","https://www.hani.co.kr/arti/economy/marketing/1169685.html",네이버뉴스,Y,Y,Y,N,N,N,Y
154,"‘캐릭터 라이선싱 페어 2025’; 223개 사 참여하며 ‘흥행’","한류 IP관(한류 IP와 연관 산업 지원 콘텐츠); 신규 캐릭터 IP 홍보관(캐릭터 개발 지원 콘텐츠 전시); 빌드업... 콘텐츠 IP 라이선싱 컨퍼런스인 ‘라이선싱 콘’은 17일부터 18일까지 양일간에 걸쳐 진행됐다. 이번... ",2025-07-27,"http://www.apparelnews.co.kr/news/news_view/?idx=218971","http://www.apparelnews.co.kr/news/news_view/?idx=218971",Unknown,Y,Y,Y,N,N,N,Y
155,"GS리테일; 중소 콘텐츠 기업 ‘캐릭터 IP’ 지원사격","GS리테일이 국내 중소 콘텐츠기업과 협업을 통해 신규 콘텐츠를 개발하고 동반성장에 나선다.GS리테일이 오는 11월까지 한국콘텐츠진흥원이 주관하는 ‘2024 IP 라이선싱 빌드업’ 프로그램에 플랫폼사로 참여; 우수... ",2024-07-25,"http://www.sentv.co.kr/news/view/691818","http://www.sentv.co.kr/news/view/691818",Unknown,Y,Y,Y,N,N,N,Y
156,"GS리테일; 중소 콘텐츠 기업 '캐릭터 IP' 지원사격","GS리테일이 오는 11월까지 한국콘텐츠진흥원이 주관하는 '2024 IP 라이선싱 빌드업' 프로그램에 플랫폼사로 참여; 우수 콘텐츠 IP를 보유한 국내 중소 콘텐츠기업의 성장을 지원한다고 25일 밝혔다. IP 라이선싱 빌드업은... ",2024-07-25,"http://www.rpm9.com/news/article.html?id=20240725090016","http://www.rpm9.com/news/article.html?id=20240725090016",Unknown,Y,Y,Y,N,N,N,Y
157,"GS리테일; 중소 콘텐츠 기업 '캐릭터 IP' 성장 지원 나선다","GS리테일은 오는 11월까지 한국콘텐츠진흥원이 주관하는 '2024 IP 라이선싱 빌드업' 프로그램에 플랫폼 사로 참여하며 우수 콘텐츠 IP를 보유한 국내 중소 콘텐츠 기업의 성장을 지원한다. IP 라이선싱 빌드업은 국내 신인... ",2024-07-25,"https://www.ntoday.co.kr/news/articleView.html?idxno=107879","https://www.ntoday.co.kr/news/articleView.html?idxno=107879",Unknown,Y,Y,Y,N,N,N,Y
